Grupo economico;Mensagem enviada? ;Cluster 2024;Vendas SLM 2023;Vendas SLM 24;Meta 2024;Gap;% Atingimento Meta;Vendas Plano 5K;Usa CRM ?;Total de Leads 90 dias;Habilitação Voucher;INADIMPLÊNCIA FDMP;INADIMPLÊNCIA ROY;Turmas usando Portifólio com familia;Número de Planejamentos;Meta formalizada?;Direito a voucher?;Motivo ;OBS ATIVO ;Observações;Quantidade de vouchers;Código do voucher ;Voucher enviado ;De acordo?;Atualizado CRM? ;Kit de Rematrícula;Observação Kit 
MAPLE BEAR PONTA GROSSA - ESTRELA;ok;Potente;149;203;205;2;99,21%;;USA CRM;153;5%;;;;14;;Sim ;Portifólio;Owner informa que havia um planejamento na escola, com a utilização do planejamento no primeiro semestre, e a utilização do portifólio já estava prevista para o segundo semestre. ;LIBERAR VOUCHERS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE;10;MBPR2025197;Sim;;;;
MAPLE BEAR PAULÍNIA;;Potente;156;201;206;5;97,42%;8;NÃO USA CRM;96;5%;;;;18;;Sim;Portifólio;;DEVIDO A SITUAÇÃO DE CAMPINAS TAQUARAL, ESSA ESCOLA ESTÁ NOS AJUDANDO, ALINHEI COM RAMIRES DE CONCEDER OS VOUCHERS, SEM O COMPROMISSO DE UTILIZAÇÃO DO PORTIFÓLIO ;10;MBSP2025181;Sim;Sim;Sim;;
MAPLE BEAR LONDRINA - NIKKO;;Potente;196;195;212;17;91,89%;2;NÃO USA CRM;74;5%;;;;26;;Não ;Portifólio;Liberar om compromisso de Toddle , Londrina tenho acerto de Roy, não cobrar;GERAR VOUCHERS A 5% POIS APÓS ANALISE DO TIME FINANCEIRO, ESSA ESCOLA NÃO É OFENSORA EM INADIMPLENCIA. OS VOUCHERS SERÃO CONCEDIDOS MEDIANTE COMPROMISSO DE UTILIZAÇÃO DA TODDLE;10;MBPR2025169;Sim;;;;
MAPLE BEAR SÃO CAETANO DO SUL - SANTA PAULA;ok ;Alta Performance;175;197;215;18;91,66%;2;NÃO USA CRM;102;5%;;;;16;;Sim;Portifólio;Owner ressitente com a utilização do portifolio. Informa que precisa de treinamentos com a equipe antes de tomar qualquer decisão. Alinhei com Ramires disponibilizar os vouchers, e vamos acompanhando essa escola para programar o treinamento, e fazer todo o acompanhamento necessário. Ramires estará na escla em 02/09 e conversará com o Felipe. Liberados os vouchers do grupo economico. SA, SC E KLABIN;LIBERAR VOUCHERS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE;10;MBSP2025177;Sim;n/a;Sim;;
MAPLE BEAR RIO VERDE - SETOR CENTRAL;ok ;Desenvolvimento;199;201;235;34;85,52%;4;NÃO USA CRM;10;5%;;;;27;;Sim;Portifólio;;VOUCHERS LIBERADOS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE;10;MBGO2025167;Sim;Sim;Sim;;
MAPLE BEAR FRANCA - RESIDENCIAL PARAÍSO;;Potente;177;200;236;36;84,90%;10;NÃO USA CRM;87;5%;;;;25;;Sim;Portifólio;;VOUCHERS LIBERADOS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE ;10;MBSP2025176;Sim;Sim;Sim;;
MAPLE BEAR BOA VISTA - CAÇARI;;Alerta;207;195;239;44;81,59%;3;NÃO USA CRM;85;5%;;;;29;;Sim;Portifólio;Vouchers liberados. Owner resistente, aceitoou conhecer mais sobre a ferramenta. ;LIBERAR VOUCHERS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE;10;MBRR2025161;Sim;Sim;Sim;;
MAPLE BEAR FLORIANÓPOLIS - ILHA ;;Alerta;207;207;266;59;77,82%;5;USA CRM;204;3%;;;15;;;Sim;;;CONSIDERAR 5% POIS A META NÃO FOI FORMALIZADA PARA A ESCOLA (ALINHADO COM RAMIRES) ;10;MBSC2025159;Sim ;N/A;Sim;;
MAPLE BEAR SORRISO - RESIDENCIAL COPENHAGEN;;Desenvolvimento;194;181;257;76;70,53%;;NÃO USA CRM;20;3%;SIM;SIM;17;;235;Sim;FDMP/ROY;Sobre pencência financeira: 21/08/2024 - Relatório enviado e em análise pelo responsável financeiro da unidade. Havia uma pendência financeira e foi  feito acordo em 30/09.;;10;MBMT2025296;Sim;N/A;Sim;;
MAPLE BEAR CAMPINAS - PARQUE TAQUARAL;;Stand by;171;195;177;-18;110,43%;5;NÃO USA CRM;243;5%;;;;16;;Não ;Portifólio;;NÃO CONTATAR;10;MBSP2025179;;;;;
MAPLE BEAR SÃO PAULO - PACAEMBU;;Potente;202;184;149;-35;123,70%;;NÃO USA CRM;110;5%;;;20;;;Sim;;;;9;MBSP2025230;Sim ;N/A;Sim;;
MAPLE BEAR MANAUS - FLORES I;;Stand by;174;177;184;7;96,22%;4;NÃO USA CRM;210;5%;;;2;12;;Sim ;;;;9;MBAM2025215;Sim ;;Sim;;
MAPLE BEAR ANÁPOLIS - CITY;;Alerta;177;177;188;11;94,23%;1;NÃO USA CRM;93;5%;;;;13;;Sim;Portifólio;;VOUCHERS LIBERADOS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE ;9;MBGO2025172;Sim;Sim;Sim;;
MAPLE BEAR SÃO PAULO - VILA MASCOTE;ok ;Potente;178;178;200;22;89,14%;4;USA CRM;145;5%;;;;24;;Não ;Portifólio;Isabel está resistente, diz que a Toddle precisa ter as mesmas funcionalidades que  Tellme e que vai mudar apenas quando sentirse segura. Conta com o nosso apoio para conhecer mais sobre a ferramenta. ;VOUCHERS LIBERADOR, FIRMANDO COMPROMISSO DE CONHECIMENTO DA FERRAMENTA PARA INICIAR ESTUDO DE IMPLANTAÇÃO;9;MBSP2025173;Sim;;;Sim;Informa que achou o preço ''salgado'' Enviou alumas observações sobre a foto na loja B2B. Repassamos suas considerações ao Tiago. 
MAPLE BEAR GUARULHOS - CENTRO;;Alerta;169;170;194;24;87,80%;1;NÃO USA CRM;259;5%;;;19;;;Sim;;;;9;MBSP2025184;Sim ;;Sim;;
MAPLE BEAR PARNAMIRIM;;Potente;165;171;208;37;82,39%;4;NÃO USA CRM;48;5%;SIM;SIM;;41;;Não ;FDMP/Roy/Portifólio;Ainda não há acordo para a pendência financeira. Além disso, já realizamos tentativa de contato para falar sobre voucher, mas sem sucesso ;GERAR VOUCHERS A 5% POIS APÓS ANALISE DO TIME FINANCEIRO, ESSA ESCOLA NÃO É OFENSORA EM INADIMPLENCIA. OS VOUCHERS SERÃO CONCEDIDOS MEDIANTE COMPROMISSO DE UTILIZAÇÃO DA TODDLE;9;MBRN2025187;;;;;
MAPLE BEAR RIO CLARO;ok ;Potente;167;178;219;41;81,25%;5;NÃO USA CRM;64;5%;;;;39;;Sim;Portifólio;;LIBERAR VOUCHERS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE;9;MBSP2025185;Sim;Não ;;;
MAPLE BEAR VINHEDO - BOSQUE;;Potente;186;173;214;41;80,81%;1;NÃO USA CRM;52;5%;;;;26;;Sim;Portifólio;;VOUCHERS LIBERADOS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE ;9;MBSP2025171;Sim;Sim;Sim;;
MAPLE BEAR CAMPINA GRANDE - MIRANTE;Confirmar número;Desenvolvimento;196;184;234;50;78,49%;1;NÃO USA CRM;88;3%;;;;14;217;Sim;Portifólio;Se alinhado Toddle, liberar 5%;LIBERAR 5% DE VOUCHER POIS COM BASE NA META FORMALIZADA, A ESCOLA ATINGIU 85% . (LIBERAR VOUCHERS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE);9;MBPB2024168;Sim;;;;
MAPLE BEAR SÃO PAULO - MORUMBI PAINEIRAS;;Alerta;200;177;438;272;37,94%;3;NÃO USA CRM;94;5%;;;;29;;Sim ;Portifólio/Não atingiu meta;;LIBERAR  5% DE VOUCHER POIS A META NÃO FOI FORMALIZADA PARA A ESCOLA.LIBERADO COM COMPROMISSO DE CONHECIMENTO DA FERRAMENTA, BEM COMO AUXILIO DA CENTRAL PARA IMPLANTAÇÃO ;9;MBSP2025165;Sim;;Sim;Sim;Está ciente e já deixou uma de suas funcionárias (Barbara) responsável por adquirir os kits que julgarem necessário
MAPLE BEAR ITABIRA - QUATORZE DE FEVEREIRO;;Potente;80;156;102;-54;152,81%;7;NÃO USA CRM;77;5%;;;10;;;Sim;;;HAVIA UMA INADIMPLÊNCIA QUE FOI REGULARIZADA;8;MBMG2025243;Sim ;N/A;Sim;;
MAPLE BEAR MARINGÁ - VILA MARUMBY;;Alerta;121;163;147;-16;111,02%;2;NÃO USA CRM;144;5%;;;;11;;Sim;Portifólio;;VOUCHERS LIBERADOS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE ;8;MBPR2025218;Sim;Sim;Sim;;
MAPLE BEAR JOINVILLE - ATIRADORES;;Potente;122;163;149;-14;109,15%;4;NÃO USA CRM;108;5%;;;18;;;Sim ;;;;8;MBSC2025213;Sim ;N/A;Sim;;
MAPLE BEAR NOVA LIMA - ALPHAVILLE LAGOA DOS INGLESES;ok;Alta Performance;164;164;161;-3;101,75%;3;NÃO USA CRM;31;5%;;;;28;;Sim;Portifólio;;ALINHADO COM RAMIRES LIBERAR OS VOUCHERS DESSA ESCOLA DIANTE DA SITUAÇÃO APONTADA SOBRE A TODDLE. A PARTIR DE SETEMBRO, INVESTIGAREMOS AS SINALIZAÇÕES PARA DAR O RETORNO A OWNER;8;MBMG2025188;Sim;;Sim;;
MAPLE BEAR LIMEIRA;ok;Potente;115;151;161;10;94,05%;3;NÃO USA CRM;93;5%;;;;32;;Não ;Portifólio;Andressa vai analisar qual a melhor data para a implantação na escola. ;LIBERAR VOUCHERS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE;8;MBSP20225222;;;;;
MAPLE BEAR GOVERNADOR VALADARES;;Potente;129;155;168;13;92,37%;3;NÃO USA CRM;105;5%;;;;25;;Sim;Portifólio;;VOUCHERS LIBERADOS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE;8;MBMG2025208;Sim;Sim;Sim;;
MAPLE BEAR JUIZ DE FORA -SANTA LUZIA;;Potente;122;156;169;13;92,06%;3;USA CRM;80;5%;;;11;;;Sim ;;;;8;MBMG2025212;Sim ;;Sim;;
MAPLE BEAR CHAPECÓ;Sem numero ;Alerta;121;150;169;19;88,87%;1;NÃO USA CRM;87;5%;;;;9;;Não ;Portifólio;Karina está em viagem e me pediu para falar com Jessica. Liguei para Jessica, expliquei, e ela vai coonversar com a coordenação pedagógica e me dar o retorno final segunda feira, dia 02/09;LIBERAR VOUCHERS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE;8;MBSC2025214;;;;;
MAPLE BEAR UBERLÂNDIA - VIGILATO PEREIRA;;Desenvolvimento;177;160;191;31;83,77%;1;NÃO USA CRM;279;5%;;;;11;;Sim;Portifólio;;LIBERAR VOUCHERS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE;8;MBMG2025175;Sim;Sim;Sim;;
MAPLE BEAR SANTA MARIA - CENTRO;;Potente;159;159;208;49;76,57%;4;USA CRM;99;3%;SIM;SIM;;10;200;Não ;FDMP/ROY/Portifólio;Ainda não há acordo para as pendências financeiras;GERAR VOUCHERS A 5% POIS APÓS ANALISE DO TIME FINANCEIRO, ESSA ESCOLA NÃO É OFENSORA EM INADIMPLENCIA. OS VOUCHERS SERÃO CONCEDIDOS MEDIANTE COMPROMISSO DE UTILIZAÇÃO DA TODDLE - SERÃO GERADOS VOUCHERS A 5%, POIS A DIANTE DA META FORMALIZADA PARA A ESCOLA, O % DE ATINGIDO FOI 80%;8;MBRS2025191;;;;;
MAPLE BEAR PRAIA GRANDE;;Alerta;149;150;197;47;76,25%;3;NÃO USA CRM;152;5%;;;;20;;Sim;Portifólio;;VOUCHERS LIBERADOS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE ;8;MBSP2025199;Sim;Sim;Sim;;
MAPLE BEAR BALNEÁRIO CAMBORIÚ;;Alerta;170;151;202;51;74,94%;5;NÃO USA CRM;75;3%;;;13;;171;Sim ;;;CONSIDERAR 5% - POIS DE ACORDO COM A META FORMALIZADA, A ESCOLA ATINGIU 88% ;8;MBSC2025180;Sim ;N/A;Sim;;
MAPLE BEAR MONTES CLAROS - IBITURUNA;;Potente;104;132;127;-5;104,11%;;NÃO USA CRM;85;5%;;;7;;;Sim ;;;;7;MBMG2025227;Sim ;N/A;Sim;;
MAPLE BEAR POUSO ALEGRE - FÁTIMA;;Desenvolvimento;132;144;147;3;97,77%;1;NÃO USA CRM;22;5%;;;7;;;Sim ;;;;7;MBMG2025206;Sim ;;Sim;;
MAPLE BEAR SALVADOR - CANELA;ok;Potente;112;135;144;9;93,79%;8;NÃO USA CRM;48;5%;;;;6;;Sim;Portifólio;;VOUCHERS LIBERADOS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE;7;MBBA2025224;Sim;Sim;Sim;;
MAPLE BEAR CAMAÇARI - BUSCA VIDA;;Potente;136;136;163;27;83,57%;;USA CRM;145;5%;;;;12;;Sim;Portifólio;;LIBERAMOS OS VOUCHERS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE (EM 2 MESES) ;7;MBBA2025204;Sim;;Sim;;
MAPLE BEAR GUARUJÁ - ENSEADA;;Alerta;144;147;182;35;80,94%;9;NÃO USA CRM;69;5%;;;;12;;Sim;Portifólio;;VOUCHERS LIBERADOS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE ;7;MBSP2025201;Sim;Sim;Sim;;
MAPLE BEAR PASSO FUNDO – VILA LUIZA;;Potente;124;149;186;37;79,91%;3;NÃO USA CRM;72;3%;;;11;;148;Sim ;;;CONSIDERAR 5%, POIS A META FORMALIZADA ESTÁ DIVERGENTE DO GESTÃO (ALINHADO COM RAMIRES) ;7;MBRS2025211;Sim ;;Sim;;
MAPLE BEAR VITÓRIA - JARDIM DA PENHA;;Alta Performance;162;141;180;39;78,50%;;NÃO USA CRM;84;3%;;;13;;;Sim;;;CONSIDERAR 5% POIS A META NÃO FOI FORMALIZADA PARA A ESCOLA (ALINHADO COM RAMIRES) ;7;MBES2025189;Sim ;N/A;Sim;;
MAPLE BEAR RIO DE JANEIRO - VILA VALQUEIRE;;Alerta;131;138;177;39;77,87%;4;NÃO USA CRM;101;3%;;;14;;176;Sim;;;LIBERADO A 3% POIS A META FORMALIZADA NÃO ALTERA A RANGE DE % DE META ATINGIDA ;7;MBRJ2025207;Sim ;;Sim;;
MAPLE BEAR LINHARES - TRÊS BARRAS;Sem numero ;Potente;125;143;195;52;73,30%;4;NÃO USA CRM;26;3%;;;;21;189;Sim;Portifólio;decisão Ana ok. André ciente das informações, vai conversar com a diretora para nos passar uma data expectativa para implantação do uso do portifólio. Após verificar com a diretora, Andre me retornou que o time vai treinar sobre a toddle, e a aprtir daí vai me passar o prazo para implantação do portifolio. Vamos acompanhando para conseguir captar uma data com ele.;META DIVERGENTE, CONSIDERAR 5%;7;MBES2025209;Sim;;;;
MAPLE BEAR MACAPÁ;;Implantação;;1;66;65;1,52%;;NÃO USA CRM;49;0%;;;;;;Sim;Implantação;PREVISÃO DE ABERTURA PARA AGOSTO/CRIAR UM VOUCHER POR SÉRIE, DO TODDLER ATÉ O Y2 ;PREVISÃO DE ABERTURA PARA AGOSTO/CRIAR UM VOUCHER POR SÉRIE, DO TODDLER ATÉ O Y2. Owner informou no dia 25/09 para a Ana que vai ofertar também o bear care devido a alta procura (foi alinhada a mudança de oferta também com a Marta segundo a owner Raissa) ;7;MBMACAPAAMOSTRA100;Sim;N/A;Sim;;
MAPLE BEAR JACAREÍ;ok;Potente;65;111;89;-22;124,47%;6;NÃO USA CRM;55;5%;SIM;SIM;8;;;Sim;FDMP/Roy;Onwer falou com quintela que permitiu uma condição especial de acordo. Liberei os vouchers em 25/09, e a Cydi já está ciente que precisa seguir com a formalizalçao do acordo dessa escola. ;GERAR VOUCHERS A 5% POIS APÓS ANALISE DO TIME FINANCEIRO, ESSA ESCOLA NÃO É OFENSORA EM INADIMPLENCIA.;6;MBSP2025252;Sim;N/A;Sim;;
MAPLE BEAR GUARAPARI - MUQUIÇABA;ok;Potente;84;119;104;-15;114,19%;2;NÃO USA CRM;38;5%;;;;19;;Não ;Portifólio;;LIBERAR VOUCHERS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE;6;MBES2025242;;;;;
MAPLE BEAR BELO HORIZONTE III - SAGRADA FAMÍLIA;;Potente;80;118;105;-13;112,03%;4;NÃO USA CRM;197;5%;;;;24;;Sim;Portifólio;;VOUCHERS LILBERADOS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE;6;MBMG2025244;Sim;Não ;Sim;;
MAPLE BEAR TRÊS LAGOAS;;Potente;91;115;109;-6;105,97%;1;NÃO USA CRM;50;5%;;;;16;;Sim;Portifólio;;VOUCHERS LIBERADOS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE ;6;MBMS2025235;Sim;Sim;Sim;;
MAPLE BEAR CARUARU;;Potente;73;114;119;5;96,01%;2;NÃO USA CRM;60;5%;;;8;;;Sim ;;;;6;MBPE2025247;Sim ;;Sim;;
MAPLE BEAR BRAGANÇA PAULISTA;;Potente;98;115;123;8;93,29%;4;NÃO USA CRM;62;5%;;;;14;;Sim;Portifólio;;VOUCHERS LIBERADOS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE;6;MBSP2025233;Sim;Sim;Sim;;
MAPLE BEAR BOTUCATU - VILA NOGUEIRA;ok;Potente;103;116;125;9;93,02%;7;NÃO USA CRM;58;5%;;;;14;;Não ;Portifólio;Não conseguimos falar com a owner. Falmos com Karla que ainda não deu retorno definitivo. ;CONVERSAMOS COM KARLA QUE FIRMOU O COMPROMISSO. FALTA O DE ACORDO NO EMAIL ;6;MBSP2025229;;;;;
MAPLE BEAR ITATIAIA - PENEDO;;Potente;104;120;129;9;92,69%;3;NÃO USA CRM;104;5%;;;10;;;Sim ;;;;6;MBRJ2025226;Sim ;;Sim;;
MAPLE BEAR ARAÇATUBA;Decidir com Ramires abordagem para essa escola ;Alerta;125;122;134;12;91,35%;1;NÃO USA CRM;48;5%;;;;19;;Não ;Portifólio;Decidir com Ramires abordagem para essa escola.;LIBERAR VOUCHERS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE;6;MBSP2025210;;;;;
;;;;;;;;;;;;;;;;;;;Falei com Mônica e ela junto a direção e a asistente de coordação. A gestão pedagógica da equipe é nova, fizeram uma movimentação no inicio do ano para iniciar utilização da Toddle, mas de forma interna. Para o segundo semestre, a ideia era utilizar o portifólio para o Midle Years (do sexto ao nono ano), mas não eu certo por conta das mudanças na escola. Hoje ainda utiliza o Tellme, mas comprometeram a utilizar para o próximo semestre. Sinalizou que como melhoria, precisa da opção de ajustes após criar a mensagem. ;;;;;;;;
MAPLE BEAR RIO DE JANEIRO - MÉIER;;Potente;102;123;135;12;91,05%;;NÃO USA CRM;93;5%;;;2;21;;Sim;Portifólio;;VOUCHER LIBERADO;6;MBRJ2025231;Sim;Sim;Sim;;
MAPLE BEAR SERTÃOZINHO - CENTRO;;Desenvolvimento;112;128;143;15;89,48%;3;NÃO USA CRM;26;5%;SIM;SIM;;26;;Não ;FDMP/Roy/Portifólio;"21/08/2024 - Situação de inadimplência complicadíssima; será necessário maior tempo para conclusão de um acordo. Status CRM";GERAR VOUCHERS A 5% POIS APÓS ANALISE DO TIME FINANCEIRO, ESSA ESCOLA NÃO É OFENSORA EM INADIMPLENCIA. OS VOUCHERS SERÃO CONCEDIDOS MEDIANTE COMPROMISSO DE UTILIZAÇÃO DA TODDLE;6;MBSP2025223;;;;;
MAPLE BEAR ARARAQUARA - VILA HARMONIA;;Potente;143;150;173;23;86,86%;2;NÃO USA CRM;86;5%;;;;26;;Sim;Portifólio;;LIBERAR VOUCHERS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE;8;MBSP2025203;Sim;Sim;Sim;;
MAPLE BEAR TERESÓPOLIS;;Potente;118;127;156;29;81,66%;2;NÃO USA CRM;111;5%;SIM;SIM;;10;;Sim;FDMP/Roy/Portifólio;;CONFORME ALINHADO COM RAMIRES EM 28/08, LIBERAREMOS OS VOUCHERS DESSA ESCOLA, E POSTERIORMENTE RAMIRES VAI FALAR SOBRE TODDLE COM OS OWNERS. SOBRE PENDÊNCIA FINANCEIRA, DIRETORIA MAPLE JA VEM TRATANDO.;6;MBRJ2025219;Sim;;Sim;;
MAPLE BEAR SANTO ANDRÉ - CAMPESTRE;ok ;Alta Performance;119;110;140;30;78,73%;2;NÃO USA CRM;131;5%;;;;11;;Sim;Portifólio;Owner ressitente com a utilização do portifolio. Informa que precisa de treinamentos com a equipe antes de tomar qualquer decisão. Alinhei com Ramires disponibilizar os vouchers, e vamos acompanhando essa escola para programar o treinamento, e fazer todo o acompanhamento necessário. Ramires estará na escla em 02/09 e conversará com o Felipe. Liberados os vouchers do grupo economico. SA, SC E KLABIN;LIBERAR VOUCHERS A 5%, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE;6;MBSP2025221;Sim;n/a;Sim;;
MAPLE BEAR ALDEIA DA SERRA;;Desenvolvimento;118;115;150;35;76,49%;;NÃO USA CRM;25;3%;;;;1;133;Sim ;Toddle;Se alinahdo, liberar 5%;LIBERADO VOUCHER A  5% POIS DIANTE DA META FORMALIZADA, A ESCOLA ATINGIU 86%;6;MBSP2025220;Sim ;Sim ;Sim ;;
MAPLE BEAR SÃO PAULO - SÃO MIGUEL PAULISTA;ok ;Alerta;151;116;178;62;65,07%;5;NÃO USA CRM;239;3%;;;;30;182;Sim;Portifólio;Edinalva vai analisar com a equipe sobre a utilização de portifólio. Ligar em 30/08.;VOUCHERS LIBERADOS  A 5% FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE META DIVERGENTE;6;MBSP2025196;Sim;Sim;Sim;;
MAPLE BEAR ARACAJU - ATALAIA;;Implantação;;;0;0;;;NÃO USA CRM;39;0%;;;;;;Sim;Implantação;1 voucher por série;ESCOLA ESTÁ EM IMPLANTAÇÃO/ CRIAR UM VOUCHER POR SÉRIE, DO TODDLER ATÉ O Y2 ;6;MBATALAIAAMOSTRA100;Sim;N/A;Sim;;
MAPLE BEAR CABO FRIO;;Implantação;;2;0;-2;;;NÃO USA CRM;65;0%;;;;;;Sim;Implantação;1 voucher por série;ESCOLA ESTÁ EM IMPLANTAÇÃO/ CRIAR UM VOUCHER POR SÉRIE, DO BEAR CARE ATÉ O Y1;6;MBCABOFRIOAMOSTRA100;Sim;N/A;Sim;;
MAPLE BEAR GUARAPUAVA;;Implantação;;;0;0;;;NÃO USA CRM;8;0%;;;;;;Sim;Implantação;1 voucher por série;ESCOLA ESTÁ EM IMPLANTAÇÃO/ CRIAR UM VOUCHER POR SÉRIE, DO TODDLER ATÉ O Y2 ;6;MBGUARAPUAVAAMOSTRA100;Sim;N/A;Sim;;
MAPLE BEAR CAXIAS DO SUL – PLANALTO;;Potente;58;107;79;-28;135,23%;4;NÃO USA CRM;146;5%;;;;26;;Sim;Portifólio;;VOUCHERS LIBERADOS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE;5;MBRS2025256;Sim;Não ;Sim;;
MAPLE BEAR CURITIBA II - BATEL;;Potente;64;102;93;-9;109,32%;;NÃO USA CRM;151;5%;;;;24;;Sim;Portifólio;;VOUCHERS LIBERADOS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE ;5;MBPR2025254;Sim;Sim;Sim;;
MAPLE BEAR CONTAGEM;;Potente;87;102;105;3;96,81%;1;NÃO USA CRM;124;5%;;;10;;;Sim ;;;;5;MBMG2025239;Sim ;Sim ;Sim;;
MAPLE BEAR NOVA MUTUM;;Potente;86;93;106;13;87,80%;;NÃO USA CRM;44;5%;;;;11;;Sim;Portifólio;;VOUCHERS LIBERADOS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE;5;MBMT2025241;Sim;Sim;Sim;;
MAPLE BEAR IPATINGA – CIDADE NOBRE;;Implantação;;1;70;69;1,43%;;NÃO USA CRM;19;0%;;;;;;Sim;Implantação;1 voucher por série;PREVISÃO DE ABERTURA PARA AGOSTO/  CRIAR UM VOUCHER POR SÉRIE, DOBEAR CARE ATÉ O SK;5;MBIPATINGAAMOSTRA100;Sim;N/A;Sim;;
