Grupo economico;Mensagem enviada? ;Cluster 2024;Vendas SLM 2023;Vendas SLM 24;Meta 2024;Gap;% Atingimento Meta;Vendas Plano 5K;Usa CRM ?;Total de Leads 90 dias;Habilitação Voucher;INADIMPLÊNCIA FDMP;INADIMPLÊNCIA ROY;Turmas usando Portifólio com familia;Número de Planejamentos;Meta formalizada?;Direito a voucher?;Motivo ;OBS ATIVO ;Observações;Quantidade de vouchers;Código do voucher ;Voucher enviado ;De acordo?;Atualizado CRM? ;Kit de Rematrícula;Observação Kit 
MAPLE BEAR BENTO GONÇALVES;;Implantação;;;0;0;;;USA CRM;;0%;;;;;;Analisar;Implantação;1 voucher por série;ESCOLA ESTÁ EM IMPLANTAÇÃO/ CRIAR UM VOUCHER POR SÉRIE, DOBEAR CARE ATÉ O SK;5;MBBENTOAMOSTRA100;;;;;
MAPLE BEAR CONSELHEIRO LAFAIETE;;Implantação;;;0;0;;;USA CRM;;0%;;;;;;Sim;Implantação;1 voucher por série;ESCOLA ESTÁ EM IMPLANTAÇÃO/CRIAR UM VOUCHER POR SÉRIE, DO BEAR CARE ATÉ O SK;5;MBCONSELHEIROAMOSTRA100;Sim;N/A;Sim;;
MAPLE BEAR GOIÂNIA - ITUMBIARA;;Implantação;;;;;;;USA CRM;;0%;;;;;;Sim;Implantação;1 voucher por série;ESCOLA ESTÁ EM IMPLANTAÇÃO/CRIAR UM VOUCHER POR SÉRIE, DO BEAR CARE ATÉ O SK;5;MBITUMBIARAAMOSTRA100;Sim;N/A;Sim;;
MAPLE BEAR GRAMADO;;Implantação;;1;0;-1;;;NÃO USA CRM;5;0%;;;;;;Sim;Implantação;1 voucher por série;ESCOLA ESTÁ EM IMPLANTAÇÃO/ CRIAR UM VOUCHER POR SÉRIE, DO BEAR CARE ATÉ O SK;5;MBGRAMADOAMOSTRA100;Sim;N/A;Sim;;
MAPLE BEAR MARABÁ;;Implantação;;;70;70;;;USA CRM;;0%;;;;;;Sim;Implantação;1 voucher por série;ESCOLA ESTÁ EM IMPLANTAÇÃO/ CRIAR UM VOUCHER POR SÉRIE, DO BEAR CARE ATÉ O SK;5;MBMARABÁAMOSTRA100;Sim;N/A;Sim;;
MAPLE BEAR MINEIROS - PARQUE SÃO JOSÉ;;Implantação;;;;;;;USA CRM;;0%;;;;;;Sim;Implantação;1 voucher por série;ESCOLA ESTÁ EM IMPLANTAÇÃO/ CRIAR UM VOUCHER POR SÉRIE, DO BEAR CARE ATÉ O SK;5;MBMINEIROSAMOSTRA100;Sim;N/A;Sim;;
MAPLE BEAR PARQUE SÃO JORGE;;Implantação;;;0;0;;;USA CRM;;0%;;;;;;Sim;Implantação;1 voucher por série;ESCOLA ESTÁ EM IMPLANTAÇÃO/ CRIAR UM VOUCHER POR SÉRIE, DO BEAR CARE ATÉ O SK;5;MBSAOJORGEAMOSTRA100;Sim;N/A;Sim;;
MAPLE BEAR PINDAMONHANGABA;;Implantação;;;0;0;;;USA CRM;;0%;;;;;;Sim;Implantação;1 voucher por série;ESCOLA ESTÁ EM IMPLANTAÇÃO/ CRIAR UM VOUCHER POR SÉRIE, DO BEAR CARE ATÉ O SK;5;MBPINDAMONHANGABAAMOSTRA100;Sim;N/A;Sim;;
MAPLE BEAR RONDONÓPOLIS;;Implantação;;;0;0;;;NÃO USA CRM;22;0%;;;;;;Sim;Implantação;1 voucher por série;ESCOLA ESTÁ EM IMPLANTAÇÃO/ CRIAR UM VOUCHER POR SÉRIE, DO BEAR CARE ATÉ O SK;5;MBRONDONOPOLISAMOSTRA100;Sim;N/A;Sim;;
MAPLE BEAR SETE LAGOAS;;Implantação;;;0;0;;;USA CRM;;0%;;;;;;Sim;Implantação;1 voucher por série;ESCOLA ESTÁ EM IMPLANTAÇÃO/ CRIAR UM VOUCHER POR SÉRIE, DO BEAR CARE ATÉ O SK;5;MBSETELAGOASAMOSTRA100;Sim;N/A;Sim;;
MAPLE BEAR SÃO JOSÉ DOS PINHAIS;;Potente;30;70;53;-17;130,95%;4;NÃO USA CRM;120;5%;;;;9;;Sim;Portifólio;;VOUCHERS LIBERADOS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE;4;MBPR2025275;Sim;Não ;Sim;;
MAPLE BEAR ASSIS;ok;Implantação;;85;71;-14;119,72%;4;NÃO USA CRM;34;5%;;;2;7;;Sim;;;VOUCHER LIBERADO;4;MBSP2025299;Sim;N/A;Sim;;
MAPLE BEAR ITAPETININGA;;Potente;53;81;72;-9;113,14%;4;USA CRM;99;5%;;;;14;;Sim;Portifólio;;VOUCHERS LIBERADOS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE;4;MBSP2025260;Sim;Não ;Sim;;
MAPLE BEAR VALPARAÍSO DE GOIÁS;;Alerta;51;73;65;-8;111,79%;;NÃO USA CRM;68;5%;;;;8;;Sim;Portifólio;;VOUCHERS LIBERADOS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE ;4;MBGO2025262;Sim;Sim;Sim;;
MAPLE BEAR SÃO CARLOS;ok;Potente;53;71;74;3;95,76%;1;NÃO USA CRM;48;5%;;;;17;;Sim;Portifólio;;LIBERAR VOUCHERS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE;4;Códdigo antigo: MBSP2025291// Código certo: MBSP2025203;Sim;Sim;Sim;;
MAPLE BEAR SÃO ROQUE;;Potente;72;84;88;4;95,60%;3;USA CRM;53;5%;;;5;;;Sim ;;;;4;MBSP2025248;Sim ;;Sim;;
MAPLE BEAR RIO DE JANEIRO - GÁVEA;Sem numero ;Potente;68;80;91;11;87,82%;3;NÃO USA CRM;48;5%;;;;14;;Sim;Portifólio;;LIBERAR VOUCHERS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE;4;MBRJ2025251;Sim;Sim;Sim;;
MAPLE BEAR ARARAS - JARDIM PIRATININGA;Sem numero ;Potente;74;85;99;14;86,05%;;USA CRM;44;5%;;;;20;;Sim;Portifólio;;VOUCHERS liberados , FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE;4;MBSP2025246;Sim;;;;
MAPLE BEAR ITATIBA - RESIDENCIAL FAZENDA ROSA;;Potente;63;70;82;12;85,31%;3;NÃO USA CRM;41;5%;;;;10;;Sim;Portifólio;;VOUCHERS LIBERADOS/ DEVIDO AO ACONTECIMENTO EM CAMPINAS TAQUARAL, NÃO FALAMOS SOBRE ACORDO DE PORTIFÓLIO COM ESSA ESCOLA;4;MBSP2025255;Sim;N/A;Sim;;
MAPLE BEAR - DUQUE DE CAXIAS;ok ;Implantação;;51;70;19;72,86%;3;NÃO USA CRM;313;3%;;;;1;;Não ;Toddle;;VOUCHERS LIBERADOS FIRMANDO COMPROMISSO DE UTILIZAÇÃO TODDE. LIBERAR 5% POIS NÃO FOI FORMALIZADA NENHUMA META PARA A ESCOLA. ;4;MBRJ2025303;Sim;;;;
MAPLE BEAR RIO BRANCO - AVIÁRIO;;Stand by;173;112;169;57;66,40%;;NÃO USA CRM;27;3%;;;2;;240;Sim;Meta;;LIBERAR 3%;4;MBAC2025178;Sim;N/A;Sim;;
MAPLE BEAR ARAGUAINA;;Implantação;;;0;0;;;USA CRM;;0%;;;;;;Sim;Implantação;1 voucher por série;ESCOLA ESTÁ EM IMPLANTAÇÃO/ CRIAR UM VOUCHER POR SÉRIE, DO TODDLER ATÉ O SK;4;MBARAGUAINAAMOSTRA100;Sim;N/A;Sim;;
MAPLE BEAR BOA VIAGEM;;Implantação;;;0;0;;;USA CRM;;0%;;;;;;Sim;Implantação;1 voucher por série;ESCOLA ESTÁ EM IMPLANTAÇÃO/ CRIAR UM VOUCHER POR SÉRIE, DO BEAR CARE ATÉ O JK;4;MBBOAVIAGEMAMOSTRA100;Sim;N/A;Sim;;
MAPLE BEAR LUCAS DO RIO VERDE – ZONA SUL;ok;Implantação;14;47;15;-32;308,77%;3;NÃO USA CRM;52;5%;;;;10;;Sim;Portifólio;Havia uma pendência financeira que foi regularizada conforme feed;VOUCHERS LIBERADOS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE;3;MBMT2025282;Sim;Sim;Sim;;
MAPLE BEAR DOURADOS - JARDIM MÔNACO;ok;Implantação;16;53;18;-26;246,12%;6;NÃO USA CRM;42;5%;;;;8;;Não;Toddle;Valter vai direcionar a coordenação pedagógica para falar comigo/ Vinicius já fez acordo sobre inadimplência que havia nessa escola;;3;MBMS2025236;;;;;
MAPLE BEAR DIVINÓPOLIS;ok;Alerta;30;53;44;-9;119,18%;3;NÃO USA CRM;41;5%;;;;2;;Sim;FDMP/Roy/Toddle;Conforme alinhado com Vinicius (financeiro) Foi realizado acordo para pendência financeira;VOUCHERS LIBERADOS FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE. NOS COLOCAMOS A DISPOSIÇÃO PARA AUXILIAR, POIS O OWNER RELATOU QUE A COORDENAÇAO ESTÁ TENDO DIFICULDADE ;3;MBMG2025274;Sim;Sim;Sim;;
MAPLE BEAR SÃO PAULO – PENHA DE FRANÇA;Sem numero ;Potente;34;51;45;-6;113,44%;;NÃO USA CRM;144;5%;SIM;SIM;;14;;Não ;FDMP/Roy/Portifólio;Vinicius vai tentar contato por conta das pendências financeiras;GERAR VOUCHERS A 5% POIS APÓS ANALISE DO TIME FINANCEIRO, ESSA ESCOLA NÃO É OFENSORA EM INADIMPLENCIA. OS VOUCHERS SERÃO CONCEDIDOS MEDIANTE COMPROMISSO DE UTILIZAÇÃO DA TODDLE;3;MBSP2025271;;;;;
MAPLE BEAR MAUÁ - BOCAINA;;Alerta;31;51;51;0;100,72%;1;NÃO USA CRM;120;5%;;;;6;;Sim;Portifólio;;VOUCHERS LIBERADOS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE ;3;MBSP2025290;Sim;Sim;Sim;;
MAPLE BEAR GUARATINGUETÁ;;Potente;37;52;52;0;99,80%;1;NÃO USA CRM;32;5%;;;7;;;Sim ;;;;3;MBSP2025268;Sim ;N/A;Sim;;
MAPLE BEAR BLUMENAU;;Implantação;;66;70;4;94,29%;2;NÃO USA CRM;130;5%;;;11;;;Sim ;;;;3;MBSC2025286;Sim ;;Sim;;
MAPLE BEAR JAGUARIÚNA - CHÁCARA PRIMAVERA;;Potente;44;56;60;4;93,69%;;NÃO USA CRM;36;5%;;;5;;;Sim ;;;;3;MBSP2025267;Sim ;;Sim;;
MAPLE BEAR TABOÃO DA SERRA;ok;Alerta;37;45;48;3;93,66%;3;NÃO USA CRM;89;5%;;;;1;;Sim;Toddle;;VOUCHERS LIBERADOS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE ;3;MBSP2025301;Sim;Sim;Sim;;
MAPLE BEAR ARAXÁ - VILLAGIO JARDIM;ok;Implantação;;56;60;4;93,33%;3;USA CRM;61;5%;;;;;;Não ;Toddle;Alinhei com a Valda: passar os webinars para o time pedagógico assistir sobre a Toddle, após isso vamos marcar uma call para alinhar a expectativa de utilizaçã ;RAMIRES ANALISAR;3;MBMG2025300;;;;;
MAPLE BEAR JI-PARANÁ;;Alerta;45;63;70;7;89,77%;;NÃO USA CRM;104;5%;;;;11;;Sim;Portifólio;;VOUCHERS LIBERADOS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE;3;MBRO2025265;Sim;Não;Sim;;
MAPLE BEAR LAGOA SANTA;;Implantação;;60;68;8;88,24%;5;NÃO USA CRM;119;5%;;;;4;;Não ;Portifólio;;LIBERAR VOUCHERS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE;3;MBSP2025292;Sim;Sim;Sim;;
MAPLE BEAR BARRETOS;ok ;Implantação;;57;70;13;81,43%;3;NÃO USA CRM;39;5%;;;;9;;Sim;Portifólio;;VOUCHERS LIBERADOS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE;3;MBSP2025293;Sim;;;;
MAPLE BEAR IMPERATRIZ – TRÊS PODERES;ok ;Alerta;103;107;143;36;74,68%;3;NÃO USA CRM;80;3%;;;;9;137;Sim;Portifólio;Owner resistente, mas aceitou iniciarmos análise do funcionamento da Toddle para conhecerem melhor a ferramenta. decisão Ana ok;VOUCHERS LIBERADOS A 3% FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE (NAO VAMOS MUDAR A % DE VOUCHERS POIS MESMO COM A CORREÇÃO DE META, A ESCOLA PASSA PARA 78% DE ATINGIMENTO);3;MBMA2025228;Sim;Não;;;
MAPLE BEAR CASA VERDE;;Potente;14;35;18;-17;189,44%;4;NÃO USA CRM;140;5%;;;6;;;Sim ;;;;2;MBSP2025283;Sim ;N/A;Sim;;
MAPLE BEAR LAVRAS;;Alerta;16;30;26;-4;114,89%;1;USA CRM;84;5%;;;;9;;Sim;Portifólio;;VOUCHERS LIBERADOS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE (ALLYSON PEDIU PARA FALARMOS COM PRISCILA);2;MBMG2025281;Sim;Sim;Sim;;
MAPLE BEAR OSASCO – KM 18;;Alerta;17;30;28;-2;106,61%;3;NÃO USA CRM;166;5%;;;;7;;Sim;Portifólio;;LIBERAR VOUCHERS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE/Contato realizado em 13/08, Guilherme vai passar os webinares para a equipe primeiro, para depois nos passar uma expectativa de utilização. (Retornar 16/08)/ VOUCHERS LIBERADOS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE ;2;MBSP2025279;Sim;Sim;Sim;;
MAPLE BEAR PORTO ALEGRE – ZONA SUL;Sem numero ;Desenvolvimento;29;47;46;-1;103,21%;2;NÃO USA CRM;112;5%;SIM;SIM;;13;;Não ;FDMP/Roy/Portifólio;Ainda não há acordo para a pendência financeira ;GERAR VOUCHERS A 5% POIS APÓS ANALISE DO TIME FINANCEIRO, ESSA ESCOLA NÃO É OFENSORA EM INADIMPLENCIA. OS VOUCHERS SERÃO CONCEDIDOS MEDIANTE COMPROMISSO DE UTILIZAÇÃO DA TODDLE;2;MBRS2025277;;;;;
MAPLE BEAR SÃO LEOPOLDO - CRISTO REI;;Potente;31;33;43;10;76,85%;;NÃO USA CRM;50;3%;SIM;SIM;2;;43;Sim;FDMP/Roy;Validar mais uma ve com yndi, e contatar dizzendo por coonta dos problemas, os vouchers estão retidos;ALINHADO COM RAMIRES A IBERAÇÃO DE 2 VOUCHERS DEVIDO A DIFICULDADE FINANCEIRA DA ESCOLA ;2;MBRS2025278;Sim;N/A;Sim;;
MAPLE BEAR BARREIRAS;ok ;Potente;50;55;73;18;75,68%;;NÃO USA CRM;38;3%;;;;9;96;Sim;Portifólio;Se alinhado Toddle, liberar 5%;VOUCHERS LIBERADOS IRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE;2;MBBA2025263;Sim;;;;
MAPLE BEAR SÃO PAULO - FREGUESIA DO Ó;Sem numero ;Implantação;;49;70;21;70,00%;5;NÃO USA CRM;205;3%;;;;12;;Não ;Portifólio;;LIBERAR VOUCHERS A 5% POIS NÃO HÁ FORMALIZAÇÃO DE META. LIBERAR FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE;2;MBSP2025294;;;;;
MAPLE BEAR CUIABÁ - JARDIM ITÁLIA;;Implantação;;44;70;26;62,86%;3;USA CRM;167;3%;;;;8;;Sim;Portifólio/Sem formalização de meta ;Adriane  solicitou desmembrar vouchers em 4 de 50% em 30/09 no whatsapp Ana ; VOUCHERS LIBERADOS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE. ;2;MBMT2025295;Sim;Não;Sim;;
MAPLE BEAR RIO DAS OSTRAS;Sem numero ;Implantação;;41;70;29;58,57%;3;NÃO USA CRM;67;0%;;;;4;;Não ;Toddle ;;LIBERADO VOUCHER MEDIANTE COMPROMISSO DE UTILIZAÇÃO TODDLE ;2;MBRJ2025304;Sim;;;;
MAPLE BEAR JARAGUÁ DO SUL;;Implantação;;35;70;35;50,00%;1;NÃO USA CRM;722;0%;;;5;;75;Sim;fev/24;;VOUCHERS LIBERADOS,UTILIZAÇÃO LIBERADA SOMENTE PARA ALUNOS ;2;MBSC2025287;Sim;N/A;Sim;;
MAPLE BEAR CASCAVEL;;Implantação;;26;75;45;35,00%;2;NÃO USA CRM;79;0%;;;5;;;Sim;Meta;;HAVIA UMA PENDÊNCIA QUE FOI REGULARIZADA/CONCEDER VOUCHER PARA UTILIZAÇÃO SOMENTE COM ALUNOS;2;MBPR2025296;Sim;N/A;Sim;;
MAPLE BEAR SÃO PAULO - VILA MADALENA;;Alerta;30;20;45;25;44,15%;;NÃO USA CRM;111;5%;;;;5;;Não ;Portifólio/Não atingiu meta;;LIBERAR A 5% POIS NÃO HÁ FORMALIZAÇÃO DE META. LIBERAR  FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE;1;MBSP2025276;;;;;
MAPLE BEAR ARAGUARI - MIRANDA;;Implantação;;14;75;59;19,00%;;NÃO USA CRM;45;0%;;;;1;;Não ;Toddle/Meta ;;LIBERAR VOUCHER MEDIANTE COMPROMISSO DE UTILIZAÇÃO TODDLE ;1;MBMG2025298;;;;;
MAPLE BEAR BELENZINHO;;Implantação;;10;75;63;13,00%;7;NÃO USA CRM;67;0%;;;;3;;Não ;FDMP/Roy/Toddle ;02/09/2024 - Pagamento das parcelas acordado em 4x à partir de 05/09. Renato informou que a escola já está utilizando o portifólio. orientamos a liberar a opção de curtida, pois entendemos que nao conseguimos acompanhar a utilização pois essa funcionalidade não está liberada .;;1;MBSP2025304;Sim;;Sim;;
MAPLE BEAR CAMPINAS - BARÃO GERALDO;;Implantação;;8;75;63;11,00%;3;USA CRM;49;0%;;;;3;;Sim;Toddle/Meta;5%, desde que aplicado comerialmente (não pode ser aplicado para funcionárioi ou filho de owner);VOUCHERS LIBERADOS, FIRMANDO COMPROMISSO DE UTILIZAÇÃO DA TODDLE (ESCOLA EM IMPLANTAÇÃO) SOMENTE UM VCOUHER;4;MBSP2025297;Sim;Sim;Sim;;
MAPLE BEAR JOÃO PESSOA - ALTIPLANO;;Implantação;;9;75;63;12,00%;6;NÃO USA CRM;88;0%;;;7;;75;Sim;jan/24;5%, desde que aplicado comerialmente (não pode ser aplicado para funcionárioi ou filho de owner);VOUCHER LIBERADO;1;MBPB2025288;Sim;N/A;Sim;;
MAPLE BEAR FLORIANÓPOLIS Norte;;Implantação;;14;75;-13;19,00%;;USA CRM;187;0%;;;5;;;Sim;Meta;;NÃO ATINGIU A META FORMALIZADA POR IMPLANTAÇÃO/ ABERTURA FEVEREIRO/24 ;1;MBSC2025289;Sim;N/A;Sim;;
MAPLE BEAR HORTOLÂNDIA;;Implantação;;15;75;59;20,00%;;NÃO USA CRM;125;0%;;;2;;;Sim;Toddle/Meta;;NÃO ATINGIU A META FORMALIZADA POR IMPLANTAÇÃO/ ABERTURA MAIO/24 ;1;MBSP2025303;;;;;
MAPLE BEAR SÃO PAULO - MOOCA;ok;Alerta;266;245;167;-78;146,62%;1;NÃO USA CRM;178;5%;;SIM;;4;;Não ;Roy/Toddle ;Liberar com compromisso de Todde. Ainda não há acordo para pendência financeira. Sobre a Toddle, Natalia está avaliando uma data para implantação.;;12;MBSP2532025;;;;;
MAPLE BEAR RIO DE JANEIRO - TIJUCA;;Potente;109;134;136;2;98,48%;1;NÃO USA CRM;107;5%;SIM;SIM;;1;;Não ;FDMP/Roy/Toddle;Ainda não há acordo para a pendência financeira ;;;;;;;;
MAPLE BEAR PORTO ALEGRE - HIGIENÓPOLIS;Sem numero ;Desenvolvimento;154;141;153;12;92,42%;5;NÃO USA CRM;126;5%;;;;33;;Não ;Portifólio;02/08/2024 - Acordos realizados para as pendências em aberto / Informação do CRM;;7;MBRS2025308;;;;;
MAPLE BEAR FORMOSA;ok ;Potente;71;70;93;23;75,20%;2;NÃO USA CRM;32;5%;;;;1;;Sim;Toddle;Owner super resistente. Aceitou nesse primeiro momento analisar a ferramenta junto ao seu time. ;RAMIRES ANALISAR - SE AUTORIZADO ENVIO, LIBERAR 5% POIS DNÃO FOI FORMALIZADA NENHUMA META PARA A ESCOLA;;;Sim;;;;
MAPLE BEAR CUIABÁ - RIBEIRÃO DO LIPA;;Stand by;161;124;170;46;72,95%;;NÃO USA CRM;49;3%;SIM;SIM;;;251;Não ;FDMP/ROY/Portifólio;Ainda não há acordo para as pendências financeiras;RAMIRES ANALISAR POIS DIANTE DA META FORMALIZADA, A ESCOLA ATINGIU 49%;;;;;;;
MAPLE BEAR SOROCABA - JARDIM SÃO CARLOS;;Alerta;327;234;364;130;64,22%;3;NÃO USA CRM;106;3%;SIM;SIM;;;369;Não ;FDMP/ROY;Ainda não há acordo para as pendências financeiras;(A META FORMALIZADA PARA A ESCOLA É MAIOR QUE A LEVANTADA INTERNAMENTE);12;MBSP2025306;;;;;
MAPLE BEAR PETRÓPOLIS;;Implantação;;30;75;40;40,00%;;USA CRM;54;0%;SIM;SIM;5;;;Não ;FDMP/Roy;Sobre pendência financeira: 28/08/2024 - Diversos ativos feitos, porém, sem resposta;;;;;;;;
MAPLE BEAR PRIMAVERA DO LESTE;;Implantação;;23;75;45;31,00%;1;USA CRM;52;0%;SIM;SIM;4;;;Não ;FDMP/Roy;Vinicius vai tentar contato por conta das pendências financeiras;;;;;;;;
MAPLE BEAR POÇOS DE CALDAS - CENTRO;;Implantação;1;17;75;53;23,19%;1;USA CRM;78;0%;SIM;SIM;4;;;Não ;FDMP/Roy;Vinicius vai tentar contato por conta das pendências financeiras;;;;;;;;
MAPLE BEAR PASSOS - CENTRO;ok ;Implantação;;12;75;59;16,00%;1;NÃO USA CRM;29;0%;;;;3;;Não ;Toddle/Meta ;;RAMIRES ANALISAR;;;;;;;
MAPLE BEAR NITERÓI - SANTA ROSA;Sem numero ;Potente;57;14;89;75;15,78%;;NÃO USA CRM;8;0%;;;;1;175;Não ;Toddle/Meta ;analiar niterói - grupo;RAMIRES ANALISAR;;;;;;;
MAPLE BEAR SOROCABA - ALTO DE BOA VISTA;Analisar com Ramires se podemos liberar;Alerta;39;35;78;-35;45%;2;NÃO USA CRM;55;0%;;;;5;78;Sim;Portifólio/Não atingiu meta;Iniciou a utilização do portifóio (report Diital de 07/11);RAMIRES ANALISAR;2;MBSP2025305;Sim;N/A;Sim;;
MAPLE BEAR ARCOVERDE;;Implantação;;;0;0;;;USA CRM;;0%;;;;;;Analisar;Implantação;1 voucher por série;ESCOLA ESTÁ EM IMPLANTAÇÃO /  CRIAR UM VOUCHER POR SÉRIE, DOBEAR CARE ATÉ O SK;5;MBARCOVERDEAMOSTRA100;;;;;
MAPLE BEAR ARUJÁ – VILA POMPEIA;;Implantação;;;0;0;;;USA CRM;;0%;;;;;;Analisar;Implantação;1 voucher por série;ESCOLA ESTÁ EM IMPLANTAÇÃO/CRIAR UM VOUCHER POR SÉRIE, DO TODDLER ATÉ O SK ;;;;;;;
MAPLE BEAR BALSAS;;Implantação;;;0;0;;;USA CRM;;0%;;;;;;Analisar;Implantação;1 voucher por série;ESCOLA ESTÁ EM IMPLANTAÇÃO/ CRIAR UM VOUCHER POR SÉRIE, DOBEAR CARE ATÉ O SK;MBBALSASAMOSTRA100;;;;;;
MAPLE BEAR CAMPO GRANDE;;Implantação;;32;75;0;43,00%;;USA CRM;;0%;;;2;;;Não ;Meta;;NÃO ATINGIU A META FORMALIZADA POR IMPLANTAÇÃO/ ABERTURA FEVEREIRO/24 ;;;;;;;
MAPLE BEAR CARIACICA;;Implantação;;;0;0;;;USA CRM;;0%;;;;;;Não;Implantação;1 voucher por série;INAUGURAÇÃO SOMENTE EM 2026;;;;;;;
MAPLE BEAR JUVENTUS;;Implantação;;;70;70;;;USA CRM;;0%;;;;;;Não ;Toddle ;;VERIFICAR DATA DE ABERTURA URGENTE;;;;;;;
MAPLE BEAR PARACATU;;Implantação;;;0;0;;;USA CRM;;0%;;;;;;Não;Implantação;1 voucher por série;INAUGURAÇÃO SOMENTE EM 2026. WASHINGTON INFORMOU NO GRUPO FORÇA TAREFA EM 04/06 AS 15:40 QUE A ESCOLA OFERTARA DO TODDLER AO JK ;3;MBPARACATUAMOSTRA100;;;;;
MAPLE BEAR RIO DE JANEIRO - CAMPO GRANDE;Sem numero ;Implantação;;32;75;0;43,00%;;USA CRM;;0%;;;;;;Não;Toddle/Meta;;NÃO ATINGIU META FORMALIZADA POR IMPLANTAÇÃO - ABERTURA FEV/2024 ;;;;;;;
MAPLE BEAR SÃO VICENTE - ITARARÉ;;Implantação;;;;;;;USA CRM;;0%;;;;;;Analisar;Implantação;1 voucher por série;ESCOLA ESTÁ EM IMPLANTAÇÃO/ LIBERAR 1 VOUCHER POR SÉRIE DO BEAR CARE ATÉ O SK ;;;;;;;
MAPLE BEAR ITU - JARDIM ROSINHA;Sem numero ;Stand by;31;9;0;-9;;2;NÃO USA CRM;6;5%;;;;3;;Não ;Toddle/Sem formalização de meta;;RAMIRES ANALISAR;;;;;;;
MAPLE BEAR BETIM;;;;;;;;;;;;;;;;;;;;Escola em implantação. Vouchers solicitados por Washington em 05/06 através do e-mail:Autorização SLM Amostra;5;MBBETIMAMOSTRA100;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;2600;26 de 100;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;1500;15 de 100;;;;;
;;;;;;;;;;;;;;;;;;;;;1100;22 de 50;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
